	id	main_affiliation	category
330	pub.1127536832	grid.254250.4	Public Health and Health Services
331	pub.1127536832	grid.254250.4	Medical and Health Sciences
332	pub.1127536832	grid.241167.7	Good Health and Well Being
333	pub.1127536832	grid.241167.7	Public Health and Health Services
334	pub.1127536832	grid.241167.7	Medical and Health Sciences
335	pub.1127536832	grid.15276.37	Good Health and Well Being
336	pub.1127536832	grid.15276.37	Public Health and Health Services
337	pub.1127536832	grid.15276.37	Medical and Health Sciences
338	pub.1127536832	grid.17635.36	Good Health and Well Being
339	pub.1127536832	grid.17635.36	Public Health and Health Services
340	pub.1127536832	grid.17635.36	Medical and Health Sciences
341	pub.1127536832	grid.137628.9	Good Health and Well Being
342	pub.1127536832	grid.137628.9	Public Health and Health Services
343	pub.1127536832	grid.137628.9	Medical and Health Sciences
344	pub.1127536832	grid.10420.37	Good Health and Well Being
345	pub.1127536832	grid.10420.37	Public Health and Health Services
346	pub.1127536832	grid.10420.37	Medical and Health Sciences
347	pub.1127536832	grid.9008.1	Good Health and Well Being
348	pub.1127536832	grid.9008.1	Public Health and Health Services
349	pub.1127536832	grid.9008.1	Medical and Health Sciences
350	pub.1127536832	grid.8051.c	Good Health and Well Being
351	pub.1127536832	grid.8051.c	Public Health and Health Services
352	pub.1127536832	grid.8051.c	Medical and Health Sciences
353	pub.1127536832	grid.411705.6	Good Health and Well Being
354	pub.1127536832	grid.411705.6	Public Health and Health Services
355	pub.1127536832	grid.411705.6	Medical and Health Sciences
356	pub.1127536832	grid.411326.3	Good Health and Well Being
357	pub.1127536832	grid.411326.3	Public Health and Health Services
358	pub.1127536832	grid.411326.3	Medical and Health Sciences
359	pub.1127536832	grid.155956.b	Good Health and Well Being
360	pub.1127536832	grid.155956.b	Public Health and Health Services
361	pub.1127536832	grid.155956.b	Medical and Health Sciences
362	pub.1127536832	grid.4989.c	Good Health and Well Being
363	pub.1127536832	grid.4989.c	Public Health and Health Services
364	pub.1127536832	grid.4989.c	Medical and Health Sciences
365	pub.1127536832	grid.38142.3c	Good Health and Well Being
366	pub.1127536832	grid.38142.3c	Public Health and Health Services
367	pub.1127536832	grid.38142.3c	Medical and Health Sciences
368	pub.1127536832	grid.411905.8	Good Health and Well Being
369	pub.1127536832	grid.411905.8	Public Health and Health Services
370	pub.1127536832	grid.411905.8	Medical and Health Sciences
371	pub.1127536832	grid.1005.4	Good Health and Well Being
372	pub.1127536832	grid.1005.4	Public Health and Health Services
373	pub.1127536832	grid.1005.4	Medical and Health Sciences
374	pub.1127536832	grid.83440.3b	Good Health and Well Being
375	pub.1127536832	grid.83440.3b	Public Health and Health Services
376	pub.1127536832	grid.83440.3b	Medical and Health Sciences
377	pub.1127536832	grid.1002.3	Good Health and Well Being
378	pub.1127536832	grid.1002.3	Public Health and Health Services
379	pub.1127536832	grid.1002.3	Medical and Health Sciences
380	pub.1127536832	grid.412501.3	Good Health and Well Being
381	pub.1127536832	grid.412501.3	Public Health and Health Services
382	pub.1127536832	grid.412501.3	Medical and Health Sciences
383	pub.1127536832	grid.11899.38	Good Health and Well Being
384	pub.1127536832	grid.11899.38	Public Health and Health Services
385	pub.1127536832	grid.11899.38	Medical and Health Sciences
386	pub.1127536832	grid.5110.5	Good Health and Well Being
387	pub.1127536832	grid.5110.5	Public Health and Health Services
388	pub.1127536832	grid.5110.5	Medical and Health Sciences
389	pub.1127536832	grid.419524.f	Good Health and Well Being
390	pub.1127536832	grid.419524.f	Public Health and Health Services
391	pub.1127536832	grid.419524.f	Medical and Health Sciences
392	pub.1127536832	grid.47716.33	Good Health and Well Being
393	pub.1127536832	grid.47716.33	Public Health and Health Services
394	pub.1127536832	grid.47716.33	Medical and Health Sciences
395	pub.1127536832	grid.22072.35	Good Health and Well Being
