	id	category
470	pub.1132983513	Neurosciences
471	pub.1132983513	Medical and Health Sciences
472	pub.1133067852	Immunology
473	pub.1133067852	Medical and Health Sciences
474	pub.1133112967	Clinical Sciences
475	pub.1133112967	Public Health and Health Services
476	pub.1133112967	Medical and Health Sciences
477	pub.1133248667	Public Health and Health Services
478	pub.1133248667	Medical and Health Sciences
479	pub.1133285298	Public Health and Health Services
480	pub.1133285298	Medical and Health Sciences
481	pub.1133301560	Genetics
482	pub.1133301560	Biological Sciences
483	pub.1133349434	Artificial Intelligence and Image Processing
484	pub.1133349434	Computation Theory and Mathematics
485	pub.1133349434	Information and Computing Sciences
486	pub.1133349434	Good Health and Well Being
487	pub.1133402081	Immunology
488	pub.1133402081	Medical and Health Sciences
489	pub.1133443729	Clinical Sciences
490	pub.1133443729	Medical and Health Sciences
491	pub.1133443729	Good Health and Well Being
492	pub.1133449298	Public Health and Health Services
493	pub.1133449298	Medical and Health Sciences
494	pub.1133467647	Cardiorespiratory Medicine and Haematology
495	pub.1133467647	Medical and Health Sciences
496	pub.1133484455	Applied Economics
497	pub.1133484455	Economics
498	pub.1133484455	Decent Work and Economic Growth
499	pub.1133490339	Public Health and Health Services
500	pub.1133490339	Medical and Health Sciences
501	pub.1133498574	Environmental Science and Management
502	pub.1133498574	Ecology
503	pub.1133498574	Environmental Sciences
504	pub.1133498574	Biological Sciences
505	pub.1133615541	Public Health and Health Services
506	pub.1133615541	Medical and Health Sciences
507	pub.1133652796	Medical and Health Sciences
508	pub.1133882352	Genetics
509	pub.1133882352	Biological Sciences
510	pub.1134000714	Political Science
511	pub.1134000714	Studies in Human Society
512	pub.1134000714	Climate Action
513	pub.1134035248	Public Health and Health Services
514	pub.1134035248	Medical and Health Sciences
515	pub.1134044324	Immunology
516	pub.1134044324	Medical and Health Sciences
517	pub.1134044324	Good Health and Well Being
518	pub.1134156033	Urban and Regional Planning
519	pub.1134156033	Transportation and Freight Services
520	pub.1134156033	Built Environment and Design
521	pub.1134156033	Commerce, Management, Tourism and Services
522	pub.1134156033	Sustainable Cities and Communities
523	pub.1134191518	Clinical Sciences
524	pub.1134191518	Medical and Health Sciences
525	pub.1134191518	Zero Hunger
526	pub.1134274782	Public Health and Health Services
527	pub.1134274782	Medical and Health Sciences
528	pub.1134294393	Specialist Studies In Education
529	pub.1134294393	Education
530	pub.1134385780	Clinical Sciences
531	pub.1134385780	Immunology
532	pub.1134385780	Public Health and Health Services
533	pub.1134385780	Medical and Health Sciences
534	pub.1134391163	Public Health and Health Services
535	pub.1134391163	Medical and Health Sciences
536	pub.1134394691	Public Health and Health Services
537	pub.1134394691	Medical and Health Sciences
538	pub.1134408786	Medical Microbiology
539	pub.1134408786	Medical and Health Sciences
540	pub.1134421067	Clinical Sciences
541	pub.1134421067	Immunology
542	pub.1134421067	Public Health and Health Services
543	pub.1134421067	Medical and Health Sciences
544	pub.1134445536	Clinical Sciences
545	pub.1134445536	Medical and Health Sciences
546	pub.1134472917	Clinical Sciences
547	pub.1134472917	Medical and Health Sciences
548	pub.1134492102	Biochemistry and Cell Biology
549	pub.1134492102	Medical Microbiology
550	pub.1134492102	Biological Sciences
551	pub.1134492102	Medical and Health Sciences
552	pub.1134522261	Clinical Sciences
553	pub.1134522261	Medical and Health Sciences
554	pub.1134556841	Cardiorespiratory Medicine and Haematology
555	pub.1134556841	Clinical Sciences
556	pub.1134556841	Medical and Health Sciences
557	pub.1134589123	Immunology
558	pub.1134589123	Medical and Health Sciences
559	pub.1134598220	Physical Chemistry (incl. Structural)
560	pub.1134598220	Chemical Sciences
561	pub.1134683682	Applied Economics
562	pub.1134683682	Economics
563	pub.1134703864	Analytical Chemistry
564	pub.1134703864	Other Chemical Sciences
565	pub.1134703864	Chemical Sciences
566	pub.1134705099	Biochemistry and Cell Biology
567	pub.1134705099	Clinical Sciences
568	pub.1134705099	Biological Sciences
569	pub.1134705099	Medical and Health Sciences
570	pub.1134710486	Mathematical Sciences
571	pub.1134710486	Physical Sciences
572	pub.1134710486	Engineering
573	pub.1134712373	Cardiorespiratory Medicine and Haematology
574	pub.1134712373	Medical Physiology
575	pub.1134712373	Medical and Health Sciences
576	pub.1134714744	Clinical Sciences
577	pub.1134714744	Medical and Health Sciences
578	pub.1134735838	Medical and Health Sciences
579	pub.1134763789	Medical and Health Sciences
580	pub.1134768505	Applied Economics
581	pub.1134768505	Business and Management
582	pub.1134768505	Sociology
583	pub.1134768505	Economics
584	pub.1134768505	Commerce, Management, Tourism and Services
585	pub.1134768505	Studies in Human Society
586	pub.1134814798	Economics
587	pub.1134814798	Good Health and Well Being
588	pub.1134814798	Industry, Innovation and Infrastructure
589	pub.1134850501	Public Health and Health Services
590	pub.1134850501	Medical and Health Sciences
591	pub.1134912877	Clinical Sciences
592	pub.1134912877	Medical and Health Sciences
593	pub.1135031368	Clinical Sciences
594	pub.1135031368	Public Health and Health Services
595	pub.1135031368	Medical and Health Sciences
596	pub.1135031387	Public Health and Health Services
597	pub.1135031387	Medical and Health Sciences
598	pub.1135063169	Biochemistry and Cell Biology
599	pub.1135063169	Biological Sciences
600	pub.1135073341	Specialist Studies In Education
601	pub.1135073341	Linguistics
602	pub.1135073341	Education
603	pub.1135073341	Language, Communication and Culture
604	pub.1135105436	Biological Sciences
605	pub.1135105436	Technology
606	pub.1135105436	Medical and Health Sciences
607	pub.1135108392	Medical Microbiology
608	pub.1135108392	Medical and Health Sciences
609	pub.1135108392	Good Health and Well Being
610	pub.1135123398	Environmental Science and Management
611	pub.1135123398	Environmental Sciences
612	pub.1135164226	Applied Economics
613	pub.1135164226	Econometrics
614	pub.1135164226	Economics
615	pub.1135172186	Applied Economics
616	pub.1135172186	Economics
617	pub.1135172186	Zero Hunger
618	pub.1135271456	Neurosciences
619	pub.1135271456	Medical and Health Sciences
620	pub.1135271578	Animal Production
621	pub.1135271578	Agricultural and Veterinary Sciences
622	pub.1135276816	Medical and Health Sciences
623	pub.1135323816	Physical Sciences
624	pub.1135323816	Chemical Sciences
625	pub.1135323816	Biological Sciences
626	pub.1135329014	Public Health and Health Services
627	pub.1135329014	Medical and Health Sciences
628	pub.1135339377	Medical Microbiology
629	pub.1135339377	Medical and Health Sciences
630	pub.1135378390	Clinical Sciences
631	pub.1135378390	Medical and Health Sciences
632	pub.1135406918	Clinical Sciences
633	pub.1135406918	Public Health and Health Services
634	pub.1135406918	Medical and Health Sciences
635	pub.1135406918	Good Health and Well Being
636	pub.1135432930	Clinical Sciences
637	pub.1135432930	Human Movement and Sports Science
638	pub.1135432930	Neurosciences
639	pub.1135432930	Medical and Health Sciences
640	pub.1135433039	Public Health and Health Services
641	pub.1135433039	Medical and Health Sciences
642	pub.1135437733	Cardiorespiratory Medicine and Haematology
643	pub.1135437733	Medical and Health Sciences
644	pub.1135468620	Applied Mathematics
645	pub.1135468620	Mathematical Sciences
646	pub.1135473918	Biochemistry and Cell Biology
647	pub.1135473918	Biological Sciences
648	pub.1135535167	Biochemistry and Cell Biology
649	pub.1135535167	Biological Sciences
650	pub.1135555952	Macromolecular and Materials Chemistry
651	pub.1135555952	Chemical Sciences
652	pub.1135555952	Climate Action
653	pub.1135568552	Public Health and Health Services
654	pub.1135568552	Medical and Health Sciences
655	pub.1135580850	Information Systems
656	pub.1135580850	Other Information and Computing Sciences
657	pub.1135580850	Marketing
658	pub.1135580850	Information and Computing Sciences
659	pub.1135580850	Commerce, Management, Tourism and Services
660	pub.1135588381	Medical Microbiology
661	pub.1135588381	Medical and Health Sciences
662	pub.1135588381	Good Health and Well Being
663	pub.1135588428	Medical Microbiology
664	pub.1135588428	Medical and Health Sciences
665	pub.1135705494	Immunology
666	pub.1135705494	Medical and Health Sciences
667	pub.1135705494	Good Health and Well Being
668	pub.1135705504	Clinical Sciences
669	pub.1135705504	Medical and Health Sciences
670	pub.1135723446	Genetics
671	pub.1135723446	Biological Sciences
672	pub.1135827683	Clinical Sciences
673	pub.1135827683	Medical and Health Sciences
674	pub.1135827683	Good Health and Well Being
675	pub.1135827712	Neurosciences
676	pub.1135827712	Medical and Health Sciences
677	pub.1135827712	Good Health and Well Being
678	pub.1135837222	Curriculum and Pedagogy
679	pub.1135837222	Specialist Studies In Education
680	pub.1135837222	Education
681	pub.1135841136	Public Health and Health Services
682	pub.1135841136	Medical and Health Sciences
683	pub.1135871907	Clinical Sciences
684	pub.1135871907	Medical and Health Sciences
685	pub.1135880058	Human Geography
686	pub.1135880058	Policy and Administration
687	pub.1135880058	Political Science
688	pub.1135880058	Studies in Human Society
689	pub.1135881976	Public Health and Health Services
690	pub.1135881976	Medical and Health Sciences
691	pub.1135906033	Psychology
692	pub.1135906033	Psychology and Cognitive Sciences
693	pub.1135906109	Medical Microbiology
694	pub.1135906109	Medical and Health Sciences
695	pub.1135906826	Biochemistry and Cell Biology
696	pub.1135906826	Biological Sciences
697	pub.1135914737	Medical and Health Sciences
698	pub.1135914737	Psychology and Cognitive Sciences
699	pub.1135930738	Medical Microbiology
700	pub.1135930738	Medical and Health Sciences
701	pub.1135934008	Immunology
702	pub.1135934008	Medical and Health Sciences
