	full_name	main_affiliation
401	a_usenik	grid.11375.31
403	a_valenzuela	grid.507636.1
404	a_van de loosdrecht	grid.16872.3a
406	a_viale	grid.51462.34
3811	u_janssens	grid.459927.4
3806	u_germing	grid.411327.2
3802	u_bonnet	grid.5718.b
3797	t_zuberbier	grid.6363.0
3791	t_yoshizato	grid.258799.8
3788	t_yamazoe	grid.459873.4
3785	t_winkler	grid.5330.5
445	b_ebert	grid.413575.1
892	d_lapuente	grid.5330.5
448	b_eiz-vesper	grid.10423.34
452	b_evrard	grid.412212.6
3777	t_wengenmayer	grid.5963.9
454	b_franca	grid.9026.d
553	c_bauer	grid.411984.1
556	c_beisswenger	grid.11749.3a
558	c_berking	grid.5330.5
563	c_bierwirth	grid.411984.1
3642	t_greenhalgh	grid.4991.5
655	c_keinki	grid.275559.9
656	c_khor	grid.418377.e
3637	t_goldberg	grid.6936.a
659	c_kornblum	grid.15090.3d
681	c_maier	grid.411668.c
686	c_mauch	grid.411097.a
3609	t_churchill	grid.32224.35
693	c_mok	grid.194645.b
3601	t_birkholz	grid.411668.c
703	c_ocampo-ariza	grid.7450.6
704	c_ochsner	grid.7450.6
711	c_polprasert	grid.411628.8
718	c_rice	grid.134907.8
3586	t_amano	grid.1003.2
725	c_roos	grid.418215.b
728	c_røe	grid.5510.1
3582	s_zohar	grid.417925.c
3580	s_zeissig	grid.4488.0
733	c_sander	grid.38142.3c
3651	t_ishikawa	grid.410843.a
