	id	for_v1_first_level	for_v1_first_level_code	for_v1_second_level	for_v1_second_level_code
201	pub.1131366772	Medical and Health Sciences	11	Medical Microbiology	1108
202	pub.1131448655	Biological Sciences	06	Biochemistry and Cell Biology	0601
203	pub.1131464447	Mathematical Sciences	01	Pure Mathematics	0101
204	pub.1131471047	Environmental Sciences	05	Environmental Science and Management	0502
205	pub.1131624623	Medical and Health Sciences	11	Clinical Sciences	1103
206	pub.1131624623	Medical and Health Sciences	11	Public Health and Health Services	1117
207	pub.1131624687	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
208	pub.1131721397	Medical and Health Sciences	11		None
209	pub.1131748822	Economics	14	Applied Economics	1402
210	pub.1131796221	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
211	pub.1131846614	Medical and Health Sciences	11		None
212	pub.1131882484	Biological Sciences	06		None
213	pub.1131882484	Medical and Health Sciences	11		None
214	pub.1131920383	Medical and Health Sciences	11	Medical Microbiology	1108
215	pub.1132018186	Medical and Health Sciences	11	Clinical Sciences	1103
216	pub.1132023093	Medical and Health Sciences	11	Clinical Sciences	1103
217	pub.1132036996	Medical and Health Sciences	11	Pharmacology and Pharmaceutical Sciences	1115
218	pub.1132062920	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
219	pub.1132063999	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
220	pub.1132108378	Mathematical Sciences	01	Statistics	0104
221	pub.1132108762	Medical and Health Sciences	11	Immunology	1107
222	pub.1132108762	Medical and Health Sciences	11	Medical Microbiology	1108
223	pub.1132109384	Medical and Health Sciences	11	Clinical Sciences	1103
224	pub.1132127717	Medical and Health Sciences	11	Clinical Sciences	1103
225	pub.1132127722	Medical and Health Sciences	11	Public Health and Health Services	1117
226	pub.1132143651	Medical and Health Sciences	11	Medical Microbiology	1108
227	pub.1132189732	Biological Sciences	06	Biochemistry and Cell Biology	0601
228	pub.1132189732	Medical and Health Sciences	11	Medical Microbiology	1108
229	pub.1132243796	Physical Sciences	02	Other Physical Sciences	0299
230	pub.1132243796	Medical and Health Sciences	11	Clinical Sciences	1103
231	pub.1132243829	Medical and Health Sciences	11	Clinical Sciences	1103
232	pub.1132294775	Medical and Health Sciences	11	Paediatrics and Reproductive Medicine	1114
233	pub.1132294775	Medical and Health Sciences	11	Public Health and Health Services	1117
234	pub.1132321841	Economics	14	Applied Economics	1402
235	pub.1132339010	Biological Sciences	06	Genetics	0604
236	pub.1132339010	Medical and Health Sciences	11	Immunology	1107
237	pub.1132420900	Medical and Health Sciences	11	Immunology	1107
238	pub.1132451777	Medical and Health Sciences	11	Clinical Sciences	1103
239	pub.1132451825	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
240	pub.1132452614	Medical and Health Sciences	11		None
241	pub.1132490817	Medical and Health Sciences	11	Medical Microbiology	1108
242	pub.1132496874	Medical and Health Sciences	11	Clinical Sciences	1103
243	pub.1132502583	Economics	14	Applied Economics	1402
244	pub.1132581290	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
245	pub.1132625841	Medical and Health Sciences	11	Clinical Sciences	1103
246	pub.1132625841	Medical and Health Sciences	11	Public Health and Health Services	1117
247	pub.1132625841	Medical and Health Sciences	11	Other Medical and Health Sciences	1199
248	pub.1132635498	Medical and Health Sciences	11	Pharmacology and Pharmaceutical Sciences	1115
249	pub.1132683657	Medical and Health Sciences	11	Medical Physiology	1116
250	pub.1132714885	Medical and Health Sciences	11	Clinical Sciences	1103
251	pub.1132727798	Education	13	Specialist Studies In Education	1303
252	pub.1132826176	Medical and Health Sciences	11	Public Health and Health Services	1117
253	pub.1132882180	Medical and Health Sciences	11	Neurosciences	1109
254	pub.1132897150	Medical and Health Sciences	11	Clinical Sciences	1103
255	pub.1132897150	Medical and Health Sciences	11	Oncology and Carcinogenesis	1112
256	pub.1132924631	Commerce, Management, Tourism and Services	15	Banking, Finance and Investment	1502
257	pub.1132929229	Commerce, Management, Tourism and Services	15	Banking, Finance and Investment	1502
258	pub.1132946915	Biological Sciences	06	Biochemistry and Cell Biology	0601
259	pub.1132983513	Medical and Health Sciences	11	Neurosciences	1109
260	pub.1133067852	Medical and Health Sciences	11	Immunology	1107
261	pub.1133112967	Medical and Health Sciences	11	Clinical Sciences	1103
262	pub.1133112967	Medical and Health Sciences	11	Public Health and Health Services	1117
263	pub.1133248667	Medical and Health Sciences	11	Public Health and Health Services	1117
264	pub.1133285298	Medical and Health Sciences	11	Public Health and Health Services	1117
265	pub.1133301560	Biological Sciences	06	Genetics	0604
266	pub.1133349434	Information and Computing Sciences	08	Artificial Intelligence and Image Processing	0801
267	pub.1133349434	Information and Computing Sciences	08	Computation Theory and Mathematics	0802
268	pub.1133402081	Medical and Health Sciences	11	Immunology	1107
269	pub.1133443729	Medical and Health Sciences	11	Clinical Sciences	1103
270	pub.1133449298	Medical and Health Sciences	11	Public Health and Health Services	1117
271	pub.1133467647	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
272	pub.1133484455	Economics	14	Applied Economics	1402
273	pub.1133490339	Medical and Health Sciences	11	Public Health and Health Services	1117
274	pub.1133498574	Environmental Sciences	05	Environmental Science and Management	0502
275	pub.1133498574	Biological Sciences	06	Ecology	0602
276	pub.1133615541	Medical and Health Sciences	11	Public Health and Health Services	1117
277	pub.1133652796	Medical and Health Sciences	11		None
278	pub.1133882352	Biological Sciences	06	Genetics	0604
279	pub.1134000714	Studies in Human Society	16	Political Science	1606
280	pub.1134035248	Medical and Health Sciences	11	Public Health and Health Services	1117
281	pub.1134044324	Medical and Health Sciences	11	Immunology	1107
282	pub.1134156033	Built Environment and Design	12	Urban and Regional Planning	1205
283	pub.1134156033	Commerce, Management, Tourism and Services	15	Transportation and Freight Services	1507
284	pub.1134191518	Medical and Health Sciences	11	Clinical Sciences	1103
285	pub.1134274782	Medical and Health Sciences	11	Public Health and Health Services	1117
286	pub.1134294393	Education	13	Specialist Studies In Education	1303
287	pub.1134385780	Medical and Health Sciences	11	Clinical Sciences	1103
288	pub.1134385780	Medical and Health Sciences	11	Immunology	1107
289	pub.1134385780	Medical and Health Sciences	11	Public Health and Health Services	1117
290	pub.1134391163	Medical and Health Sciences	11	Public Health and Health Services	1117
291	pub.1134394691	Medical and Health Sciences	11	Public Health and Health Services	1117
292	pub.1134408786	Medical and Health Sciences	11	Medical Microbiology	1108
293	pub.1134421067	Medical and Health Sciences	11	Clinical Sciences	1103
294	pub.1134421067	Medical and Health Sciences	11	Immunology	1107
295	pub.1134421067	Medical and Health Sciences	11	Public Health and Health Services	1117
296	pub.1134445536	Medical and Health Sciences	11	Clinical Sciences	1103
297	pub.1134472917	Medical and Health Sciences	11	Clinical Sciences	1103
298	pub.1134492102	Biological Sciences	06	Biochemistry and Cell Biology	0601
299	pub.1134492102	Medical and Health Sciences	11	Medical Microbiology	1108
300	pub.1134522261	Medical and Health Sciences	11	Clinical Sciences	1103
301	pub.1134556841	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
302	pub.1134556841	Medical and Health Sciences	11	Clinical Sciences	1103
303	pub.1134589123	Medical and Health Sciences	11	Immunology	1107
304	pub.1134598220	Chemical Sciences	03	Physical Chemistry (incl. Structural)	0306
305	pub.1134683682	Economics	14	Applied Economics	1402
306	pub.1134703864	Chemical Sciences	03	Analytical Chemistry	0301
307	pub.1134703864	Chemical Sciences	03	Other Chemical Sciences	0399
308	pub.1134705099	Biological Sciences	06	Biochemistry and Cell Biology	0601
309	pub.1134705099	Medical and Health Sciences	11	Clinical Sciences	1103
310	pub.1134710486	Mathematical Sciences	01		None
311	pub.1134710486	Physical Sciences	02		None
312	pub.1134710486	Engineering	09		None
313	pub.1134712373	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
314	pub.1134712373	Medical and Health Sciences	11	Medical Physiology	1116
315	pub.1134714744	Medical and Health Sciences	11	Clinical Sciences	1103
316	pub.1134735838	Medical and Health Sciences	11		None
317	pub.1134763789	Medical and Health Sciences	11		None
318	pub.1134768505	Economics	14	Applied Economics	1402
319	pub.1134768505	Commerce, Management, Tourism and Services	15	Business and Management	1503
320	pub.1134768505	Studies in Human Society	16	Sociology	1608
321	pub.1134814798	Economics	14		None
322	pub.1134850501	Medical and Health Sciences	11	Public Health and Health Services	1117
323	pub.1134912877	Medical and Health Sciences	11	Clinical Sciences	1103
324	pub.1135031368	Medical and Health Sciences	11	Clinical Sciences	1103
325	pub.1135031368	Medical and Health Sciences	11	Public Health and Health Services	1117
326	pub.1135031387	Medical and Health Sciences	11	Public Health and Health Services	1117
327	pub.1135063169	Biological Sciences	06	Biochemistry and Cell Biology	0601
328	pub.1135073341	Education	13	Specialist Studies In Education	1303
329	pub.1135073341	Language, Communication and Culture	20	Linguistics	2004
330	pub.1135105436	Biological Sciences	06		None
331	pub.1135105436	Technology	10		None
332	pub.1135105436	Medical and Health Sciences	11		None
333	pub.1135108392	Medical and Health Sciences	11	Medical Microbiology	1108
334	pub.1135123398	Environmental Sciences	05	Environmental Science and Management	0502
335	pub.1135164226	Economics	14	Applied Economics	1402
336	pub.1135164226	Economics	14	Econometrics	1403
337	pub.1135172186	Economics	14	Applied Economics	1402
338	pub.1135271456	Medical and Health Sciences	11	Neurosciences	1109
339	pub.1135271578	Agricultural and Veterinary Sciences	07	Animal Production	0702
340	pub.1135276816	Medical and Health Sciences	11		None
341	pub.1135323816	Physical Sciences	02		None
342	pub.1135323816	Chemical Sciences	03		None
343	pub.1135323816	Biological Sciences	06		None
344	pub.1135329014	Medical and Health Sciences	11	Public Health and Health Services	1117
345	pub.1135339377	Medical and Health Sciences	11	Medical Microbiology	1108
346	pub.1135378390	Medical and Health Sciences	11	Clinical Sciences	1103
347	pub.1135406918	Medical and Health Sciences	11	Clinical Sciences	1103
348	pub.1135406918	Medical and Health Sciences	11	Public Health and Health Services	1117
349	pub.1135432930	Medical and Health Sciences	11	Clinical Sciences	1103
350	pub.1135432930	Medical and Health Sciences	11	Human Movement and Sports Science	1106
351	pub.1135432930	Medical and Health Sciences	11	Neurosciences	1109
352	pub.1135433039	Medical and Health Sciences	11	Public Health and Health Services	1117
353	pub.1135437733	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
354	pub.1135468620	Mathematical Sciences	01	Applied Mathematics	0102
355	pub.1135473918	Biological Sciences	06	Biochemistry and Cell Biology	0601
356	pub.1135535167	Biological Sciences	06	Biochemistry and Cell Biology	0601
357	pub.1135555952	Chemical Sciences	03	Macromolecular and Materials Chemistry	0303
358	pub.1135568552	Medical and Health Sciences	11	Public Health and Health Services	1117
359	pub.1135580850	Information and Computing Sciences	08	Information Systems	0806
360	pub.1135580850	Information and Computing Sciences	08	Other Information and Computing Sciences	0899
361	pub.1135580850	Commerce, Management, Tourism and Services	15	Marketing	1505
362	pub.1135588381	Medical and Health Sciences	11	Medical Microbiology	1108
363	pub.1135588428	Medical and Health Sciences	11	Medical Microbiology	1108
364	pub.1135705494	Medical and Health Sciences	11	Immunology	1107
365	pub.1135705504	Medical and Health Sciences	11	Clinical Sciences	1103
366	pub.1135723446	Biological Sciences	06	Genetics	0604
