	main_affiliation	category	category_count
451	grid.7737.4	Medical Microbiology	2
452	grid.7737.4	Medical and Health Sciences	2
453	grid.10939.32	Medical Microbiology	2
454	grid.10939.32	Medical and Health Sciences	2
455	grid.15485.3d	Medical Microbiology	2
456	grid.14758.3f	Medical Microbiology	2
457	grid.14758.3f	Medical and Health Sciences	2
458	grid.1003.2	Medical Microbiology	2
459	grid.7400.3	Medical Microbiology	2
460	grid.424247.3	Medical Microbiology	2
461	grid.424247.3	Biochemistry and Cell Biology	2
462	grid.424247.3	Biological Sciences	2
463	grid.13097.3c	Other Medical and Health Sciences	2
464	grid.6190.e	Clinical Sciences	2
465	grid.452286.f	Clinical Sciences	2
466	grid.452286.f	Medical and Health Sciences	2
467	grid.11749.3a	Clinical Sciences	2
468	grid.475435.4	Clinical Sciences	2
469	grid.7177.6	Clinical Sciences	2
470	grid.7372.1	Statistics	2
471	grid.7372.1	Mathematical Sciences	2
472	grid.22937.3d	Statistics	2
473	grid.22937.3d	Mathematical Sciences	2
474	grid.417925.c	Statistics	2
475	grid.417925.c	Mathematical Sciences	2
476	grid.411327.2	Clinical Sciences	2
477	grid.418230.c	Clinical Sciences	2
478	grid.411544.1	Clinical Sciences	2
479	grid.1008.9	Medical and Health Sciences	2
480	grid.414271.5	Medical and Health Sciences	2
481	grid.418248.3	Medical and Health Sciences	2
482	grid.1009.8	Medical and Health Sciences	2
483	grid.410543.7	Medical and Health Sciences	2
484	grid.413262.0	Medical and Health Sciences	2
485	grid.488779.d	Clinical Sciences	2
486	grid.414382.8	Medical and Health Sciences	2
487	grid.6363.0	Medical Microbiology	2
488	grid.1957.a	Clinical Sciences	2
489	grid.500048.9	Clinical Sciences	2
490	grid.500048.9	Medical and Health Sciences	2
491	grid.492033.f	Medical and Health Sciences	2
492	grid.249335.a	Medical Microbiology	2
493	grid.249335.a	Medical and Health Sciences	2
494	grid.483420.9	Medical and Health Sciences	2
495	grid.2515.3	Medical and Health Sciences	2
496	grid.490185.1	Clinical Sciences	2
497	grid.490185.1	Immunology	2
498	grid.490185.1	Medical and Health Sciences	2
499	grid.440220.0	Clinical Sciences	2
500	grid.440220.0	Immunology	2
501	grid.433867.d	Clinical Sciences	2
502	grid.433867.d	Immunology	2
503	grid.4488.0	Immunology	2
504	grid.411559.d	Immunology	2
505	grid.461820.9	Immunology	2
506	grid.419801.5	Immunology	2
507	grid.47100.32	Public Health and Health Services	2
508	grid.265892.2	Medical and Health Sciences	2
509	grid.4818.5	Zero Hunger	2
510	grid.5253.1	Immunology	2
511	grid.150338.c	Immunology	2
512	grid.5949.1	Immunology	2
513	grid.420451.6	Medical Microbiology	2
514	grid.14095.39	Medical Microbiology	2
515	grid.459873.4	Medical Microbiology	2
516	grid.459873.4	Medical and Health Sciences	2
517	grid.5949.1	Medical Microbiology	2
518	grid.225279.9	Medical Microbiology	2
519	grid.225279.9	Medical and Health Sciences	2
520	grid.5949.1	Biological Sciences	2
521	grid.470122.2	Medical and Health Sciences	2
522	grid.411798.2	Medical and Health Sciences	2
523	grid.491928.f	Medical and Health Sciences	2
524	grid.7683.a	Biochemistry and Cell Biology	2
525	grid.7683.a	Biological Sciences	2
526	grid.6363.0	Biological Sciences	2
527	grid.6190.e	Biological Sciences	2
528	grid.4562.5	Biochemistry and Cell Biology	2
529	grid.22937.3d	Biological Sciences	2
530	grid.8664.c	Biochemistry and Cell Biology	2
531	grid.8664.c	Biological Sciences	2
532	grid.4562.5	Clinical Sciences	2
533	grid.5949.1	Clinical Sciences	2
534	grid.411559.d	Clinical Sciences	2
535	grid.10253.35	Clinical Sciences	2
536	grid.259828.c	Public Health and Health Services	2
537	grid.189967.8	Public Health and Health Services	2
538	grid.412726.4	Public Health and Health Services	2
539	grid.412726.4	Medical and Health Sciences	2
540	grid.26790.3a	Public Health and Health Services	2
541	grid.26790.3a	Medical and Health Sciences	2
542	grid.267301.1	Public Health and Health Services	2
543	grid.267301.1	Medical and Health Sciences	2
544	grid.268154.c	Public Health and Health Services	2
545	grid.268154.c	Medical and Health Sciences	2
546	grid.27755.32	Public Health and Health Services	2
547	grid.27755.32	Medical and Health Sciences	2
548	grid.267309.9	Public Health and Health Services	2
549	grid.267309.9	Medical and Health Sciences	2
550	grid.410567.1	Public Health and Health Services	2
551	grid.24827.3b	Public Health and Health Services	2
552	grid.5252.0	Clinical Sciences	2
553	grid.241103.5	Medical and Health Sciences	2
554	grid.7497.d	Medical and Health Sciences	2
555	grid.7841.a	Clinical Sciences	2
556	grid.7637.5	Clinical Sciences	2
557	grid.477189.4	Medical and Health Sciences	2
558	grid.42327.30	Immunology	2
559	grid.410607.4	Immunology	2
560	grid.7256.6	Medical and Health Sciences	2
561	grid.420545.2	Medical and Health Sciences	2
562	grid.473675.4	Immunology	2
563	grid.473675.4	Medical and Health Sciences	2
564	grid.11598.34	Immunology	2
565	grid.6190.e	Immunology	2
566	grid.15474.33	Immunology	2
567	grid.14778.3d	Immunology	2
568	grid.477805.9	Immunology	2
569	grid.477805.9	Medical and Health Sciences	2
570	grid.508487.6	Immunology	2
571	grid.24827.3b	Medical Microbiology	2
572	grid.5718.b	Medical Microbiology	2
573	grid.489540.4	Medical Microbiology	2
574	grid.411937.9	Medical Microbiology	2
575	grid.5718.b	Pharmacology and Pharmaceutical Sciences	2
576	grid.9122.8	Economics	2
577	grid.10423.34	Public Health and Health Services	2
578	grid.10493.3f	Immunology	2
579	grid.452235.7	Immunology	2
580	grid.51462.34	Biochemistry and Cell Biology	2
581	grid.51462.34	Biological Sciences	2
582	grid.419837.0	Medical and Health Sciences	2
583	grid.440250.7	Medical and Health Sciences	2
584	grid.411095.8	Cardiorespiratory Medicine and Haematology	2
585	grid.6612.3	Medical and Health Sciences	2
586	grid.1012.2	Medical and Health Sciences	2
587	grid.15781.3a	Medical and Health Sciences	2
